a0,a1,a2,a3,st_range,end_range
0,0,0,0,28.78879,53.25583
0,0,0,0,53.25583,77.06159
0,0,0,0,77.06159,92.27083
0,0,0,0,92.27083,104.835
0,0,0,0,104.835,110.1252
0,0,0,0,110.1252,107.4801
0,0,0,0,107.4801,90.94829
0,0,0,0,90.94829,71.11015
0,0,0,0,71.11015,43.99803
0,0,0,0,43.99803,18.86972
-0.09047447,0.5692939,-4,-33.5839,18.86972,-5.597318
0,0,-2,33.5839,-5.597318,-7.581131
0,0,0,0,-7.581131,8.95065
0,0,0,0,8.95065,38.04659
0,0,0,0,38.04659,55.90091
0,0,0,0,55.90091,74.4165
0,0,0,0,74.4165,92.9321
0,0,0,0,92.9321,106.8188
